age,race,filename,split
30,1,30_0_1_20170113012632385.jpg,train
1,3,1_1_3_20161219224458872.jpg,train
23,0,23_1_0_20170112234310143.jpg,train
34,1,34_1_1_20170117015521760.jpg,train
28,0,28_1_0_20170117122001989.jpg,train
39,0,39_0_0_20170104201949978.jpg,train
26,2,26_1_2_20170105161510388.jpg,train
24,2,24_1_2_20170116174805466.jpg,train
36,0,36_0_0_20170105163417082.jpg,train
39,0,39_1_0_20170103183656003.jpg,train
6,0,6_1_0_20170104005600943.jpg,train
32,0,32_1_0_20170109141918401.jpg,train
23,4,23_1_4_20161223230008236.jpg,train
30,0,30_0_0_20170117142922282.jpg,train
35,0,35_0_0_20170117143217969.jpg,train
30,4,30_0_4_20170117202914440.jpg,train
36,1,36_1_1_20170116163956549.jpg,train
1,3,1_1_3_20161219230239192.jpg,train
24,0,24_1_0_20170105183445456.jpg,train
1,2,1_1_2_20161219195630371.jpg,train
54,0,54_1_0_20170104235238436.jpg,train
32,1,32_0_1_20170113151546423.jpg,train
31,3,31_1_3_20170104223106921.jpg,train
1,3,1_1_3_20161219230734016.jpg,train
58,0,58_0_0_20170111171747501.jpg,train
55,0,55_0_0_20170113185136832.jpg,train
26,1,26_0_1_20170113182724502.jpg,train
85,0,85_1_0_20170110155144403.jpg,train
67,0,67_0_0_20170104023306558.jpg,train
26,1,26_1_1_20170113000114594.jpg,train
29,1,29_0_1_20170117180836731.jpg,train
25,4,25_0_4_20170103233741427.jpg,train
16,0,16_0_0_20170110232111509.jpg,train
28,1,28_1_1_20170112231943575.jpg,train
25,0,25_1_0_20170109214731480.jpg,train
28,3,28_0_3_20170109002910810.jpg,train
1,3,1_1_3_20161219225504048.jpg,train
26,4,26_0_4_20170103235328516.jpg,train
26,3,26_1_3_20170119192140100.jpg,train
9,0,9_0_0_20170110215848132.jpg,train
9,0,9_0_0_20170110220237634.jpg,train
58,0,58_0_0_20170117173237872.jpg,train
36,1,36_1_1_20170117135857248.jpg,train
4,2,4_1_2_20161219160926294.jpg,train
26,3,26_0_3_20170104230424841.jpg,train
65,1,65_0_1_20170117162906228.jpg,train
39,0,39_0_0_20170105172508901.jpg,train
58,0,58_0_0_20170117191834739.jpg,train
26,0,26_1_0_20170113001451463.jpg,train
8,0,8_1_0_20170109203552679.jpg,train
27,4,27_1_4_20170103223631359.jpg,train
38,1,38_1_1_20170112211709309.jpg,train
25,4,25_0_4_20170103230228713.jpg,train
60,0,60_1_0_20170110131759572.jpg,train
50,1,50_1_1_20170117164023113.jpg,train
35,0,35_1_0_20170117135330351.jpg,train
58,1,58_0_1_20170113190654777.jpg,train
27,1,27_0_1_20170117013659556.jpg,train
26,1,26_1_1_20170116231831266.jpg,train
1,2,1_0_2_20161219205225773.jpg,train
29,1,29_1_1_20170112205213493.jpg,train
54,1,54_0_1_20170117173717615.jpg,train
27,2,27_1_2_20170116171519019.jpg,train
4,2,4_0_2_20161219192408395.jpg,train
85,0,85_1_0_20170110181934936.jpg,train
66,0,66_1_0_20170110122914995.jpg,train
28,3,28_0_3_20170119194456586.jpg,train
28,1,28_0_1_20170113151542431.jpg,train
38,1,38_0_1_20170103183118882.jpg,train
32,0,32_1_0_20170116211831287.jpg,train
65,0,65_0_0_20170111210851993.jpg,train
54,0,54_0_0_20170113210319475.jpg,train
28,3,28_1_3_20170120220537315.jpg,train
27,0,27_0_0_20170116215525646.jpg,train
58,0,58_0_0_20170113180611940.jpg,train
16,0,16_0_0_20170110231841292.jpg,train
40,0,40_0_0_20170117150100146.jpg,train
60,0,60_0_0_20170103182814970.jpg,train
23,0,23_0_0_20170117144706803.jpg,train
26,3,26_0_3_20170117153033332.jpg,train
35,0,35_1_0_20170117192047033.jpg,train
35,2,35_1_2_20170117135409365.jpg,train
